Supply ID,Item Name,Category,Quantity,Batch Number,Date Added,Status
S001,Paracetamol 500mg,Medicine,50,B2100,1/10/2025,In Stock (Ready for Use)
S002,Ibuprofen 200mg,Protective Gear,55,B2101,2/10/2025,Low Stock - Reorder Soon
S003,Amoxicillin Capsules,Equipment,60,B2102,3/10/2025,Used in Ward - Pending Refill
S004,Sterile Gauze Pads,Consumable,65,B2103,4/10/2025,Expired - Awaiting Disposal
S005,Latex Gloves,Medicine,70,B2104,5/10/2025,Under Inspection
S006,N95 Respirators,Protective Gear,75,B2105,6/10/2025,Allocated for Surgery
S007,Face Shields,Equipment,80,B2106,7/10/2025,Quarantined Batch
S008,IV Drip Set,Consumable,85,B2107,8/10/2025,Restocking in Progress
S009,Surgical Masks,Medicine,90,B2108,9/10/2025,In Stock (Ready for Use)
S010,Digital Thermometer,Protective Gear,95,B2109,10/10/2025,Low Stock - Reorder Soon
S011,Syringes 10ml,Equipment,100,B2110,11/10/2025,Used in Ward - Pending Refill
S012,Blood Pressure Monitor,Consumable,105,B2111,12/10/2025,Expired - Awaiting Disposal
S013,Wheelchair,Medicine,110,B2112,13/10/2025,Under Inspection
S014,Disinfectant Solution,Protective Gear,115,B2113,14/10/2025,Allocated for Surgery
S015,Hand Sanitizer,Equipment,120,B2114,15/10/2025,Quarantined Batch
S016,Paracetamol 500mg,Consumable,125,B2115,16/10/2025,Restocking in Progress
S017,Ibuprofen 200mg,Medicine,130,B2116,17/10/2025,In Stock (Ready for Use)
S018,Amoxicillin Capsules,Protective Gear,135,B2117,18/10/2025,Low Stock - Reorder Soon
S019,Sterile Gauze Pads,Equipment,140,B2118,19/10/2025,Used in Ward - Pending Refill
S020,Latex Gloves,Consumable,145,B2119,20/10/2025,Expired - Awaiting Disposal
S021,N95 Respirators,Medicine,150,B2120,21/10/2025,Under Inspection
S022,Face Shields,Protective Gear,155,B2121,22/10/2025,Allocated for Surgery
S023,IV Drip Set,Equipment,160,B2122,23/10/2025,Quarantined Batch
S024,Surgical Masks,Consumable,165,B2123,24/10/2025,Restocking in Progress
S025,Digital Thermometer,Medicine,170,B2124,25/10/2025,In Stock (Ready for Use)
S026,Syringes 10ml,Protective Gear,175,B2125,26/10/2025,Low Stock - Reorder Soon
S027,Blood Pressure Monitor,Equipment,180,B2126,27/10/2025,Used in Ward - Pending Refill
S028,Wheelchair,Consumable,185,B2127,28/10/2025,Expired - Awaiting Disposal
S029,Disinfectant Solution,Medicine,190,B2128,29/10/2025,Under Inspection
S030,Hand Sanitizer,Protective Gear,195,B2129,30/10/2025,Allocated for Surgery
S031,Paracetamol 500mg,Equipment,200,B2130,1/10/2025,Quarantined Batch
S032,Ibuprofen 200mg,Consumable,205,B2131,2/10/2025,Restocking in Progress
S033,Amoxicillin Capsules,Medicine,210,B2132,3/10/2025,In Stock (Ready for Use)
S034,Sterile Gauze Pads,Protective Gear,215,B2133,4/10/2025,Low Stock - Reorder Soon
S035,Latex Gloves,Equipment,220,B2134,5/10/2025,Used in Ward - Pending Refill
S036,N95 Respirators,Consumable,225,B2135,6/10/2025,Expired - Awaiting Disposal
S037,Face Shields,Medicine,230,B2136,7/10/2025,Under Inspection
S038,IV Drip Set,Protective Gear,235,B2137,8/10/2025,Allocated for Surgery
S039,Surgical Masks,Equipment,240,B2138,9/10/2025,Quarantined Batch
S040,Digital Thermometer,Consumable,245,B2139,10/10/2025,Restocking in Progress
S041,Syringes 10ml,Medicine,250,B2140,11/10/2025,In Stock (Ready for Use)
S042,Blood Pressure Monitor,Protective Gear,255,B2141,12/10/2025,Low Stock - Reorder Soon
S043,Wheelchair,Equipment,260,B2142,13/10/2025,Used in Ward - Pending Refill
S044,Disinfectant Solution,Consumable,265,B2143,14/10/2025,Expired - Awaiting Disposal
S045,Hand Sanitizer,Medicine,270,B2144,15/10/2025,Under Inspection
S046,Paracetamol 500mg,Protective Gear,275,B2145,16/10/2025,Allocated for Surgery
S047,Ibuprofen 200mg,Equipment,280,B2146,17/10/2025,Quarantined Batch
S048,Amoxicillin Capsules,Consumable,285,B2147,18/10/2025,Restocking in Progress
S049,Sterile Gauze Pads,Medicine,290,B2148,19/10/2025,In Stock (Ready for Use)
S050,Latex Gloves,Protective Gear,295,B2149,20/10/2025,Low Stock - Reorder Soon
